,song,value
1,Lavender Haze,11.0
2,Maroon,10.0
3,Anti-Hero,10.0
4,Snow On The Beach,8.5
5,"You're On Your Own, Kid",9.0
6,Midnight Rain,7.0
7,Question...?,7.0
8,Vigilante S*,5.5
9,Bejeweled,10.0
10,Labyrinth,6.0
11,Karma,10.0
12,Sweet Nothing,6.0
13,Mastermind,9.0
16,Good Morning,10.0
17,Champion,11.0
18,Stronger,9.0
19,I Wonder,11.0
20,Good Life,10.0
21,Can't Tell Me Nothing,9.0
22,Barry Bonds,7.0
23,Drunk and Hot Girls,7.0
24,Flashing Lights,11.0
25,Everything I Am,10.0
26,The Glory,10.0
27,Homecoming ,10.0
28,Big Brother,10.0
29,Good Night,9.0
34,Redline,12.0
56,Plague,8.0
57,Kerosene,11.0
58,Wrath Of God,8.0
59,Affection,5.0
60,Pale Flesh,5.0
61,Sad Eyes,6.0
62,Insulin,7.5
63,Transgender,9.0
64,Violent Youth,8.0
65,Telepath,8.5
66,Mercenary,9.0
67,Child I Will Hurt You,7.5
1,HYEANA,11.0
2,THANK GOD,8.5
3,MODERN JAM,4.5
4,MY EYES,8.0
5,GOD'S COUNTRY,7.0
6,SIRENS,8.5
7,MELTDOWN,9.5
8,FE!N,9.5
9,DELRESTO (ECHOES),6.5
10,I KNOW ?,8.5
11,TOPIA TWINS (21 Carry),10.0
12,CIRCUS MAXIMUS,9.5
13,PARASAIL,9.5
14,SKITZO,10.0
15,LOST FOREVER,5.0
16,LOOOVE,8.5
17,K-POP (Features Carried),10.0
18,TELEKINESIS (SZA Carry),10.0
19,TIL FURTHER NOTICE,10.0
22,Foreword,10.0
23,Where the Flower Blooms,11.0
24,Sometimes...,9.0
25,See You Again,11.0
26,Who Dat Boy,9.0
27,Pothole,8.0
28,Garden Shed,9.0
29,Boredom,9.5
30,I Aint Got Time,7.5
31,911 / Mr Lonely,9.5
32,Droppin Seeds,7.0
33,November ,9.0
34,Glitter ,8.0
35,"Enjoy Right Now, Today",6.5
56,Shirt,11.0
63,all american bit,9.0
64,bad idea right?,7.0
65,vampire,12.0
66,lacy,9.5
67,ballad of a homeschooled girl,11.0
68,making the bed,10.0
69,logical ,8.5
70,get him back!,8.0
71,love is embarrassing,9.5
72,the grudge,9.25
73,pretty isnt pretty,9.25
74,teenage dream,10.0
1,Flooded The Face,6.5
2,Suicide Doors,6.75
3,Aye (ft. Travis),7.0
4,Crush Em,7.75
5,Amped,3.5
6,x2,7.5
7,Died and Came Back,10.0
8,Spin Again,9.25
9,That Fiya,5.25
10,I Gotta,6.25
11,Endless Fashion (Nicki M),8.75
12,"Mamá, I'm Sorry",9.0
13,All Alone,7.75
14,Nakamura,2.75
15,Just Wanna Rock,9.0
16,Fire Alarm,7.25
17,CS,3.25
18,Werewolf (BmttH),10.0
19,Pluto to Mars,8.5
20,Patience (Don T),9.25
21,Days Come and Go,8.25
22,Rehab,6.25
23,The End (Bby Metal),10.0
24,Zoom,4.0
25,Of Course ,4.0
26,Shardai,4.0
29,On Time,10.0
30,Superhero ,11.0
31,Too Many Nights,11.0
32,Raindrops,9.0
33,Umbrella,9.0
34,Trance,9.0
35,Around Me,8.5
36,Metro Spider,11.0
37,I Cant Save You,10.01
38,Creepin,9.0
39,Niagra Falls,10.0
40,Walk Em Down,8.5
41,Lock On Me,8.5
42,Feel the Fiyaaaah,10.0
43,All The Money,9.0
46,On Sight,12.0
47,Black Skinhead,11.0
48,I Am A God,11.0
49,New Slaves,11.0
50,Hold My Liquor,11.0
51,Im In It,10.0
52,Blood On The Leaves,7.0
53,Guilt Trip,10.0
54,Send It Up,5.0
55,Bound 2,12.0
1,Rich Flex,9.25
2,Major Distribution,10.0
3,On BS,10.0
4,BackOutsideBoyz,9.0
5,Privilaged Rappers,10.0
6,Spin Bout U,10.0
7,Hours In Silence,8.75
8,Treacherous Twins,12.0
9,Circo Loco,7.25
10,Ps & Millions,10.0
11,Broke Boys,9.0
12,Middle of the Ocean,7.75
13,Jumbotron St Poppin,10.0
14,More M's,10.0
15,3AM on Glenwood,9.5
16,I Guess It's F Me,10.0
19,Rockstar Made,6.5
20,Go2DaMoon,8.0
21,Stop Breathing,6.0
22,Beno!,10.0
23,JumpOutTheHouse,8.0
24,M3tamorphosis,9.0
25,Slay3r,10.0
26,No Sl33p,8.0
27,New Tank,8.0
28,Teen X,8.0
29,Meh,9.0
30,Vamp Anthem,7.0
31,New N3on,10.0
32,Control,10.0
33,Punk Monk,9.0
34,On That Time,9.0
35,King Vamp,8.0
36,Place,7.0
37,Sky,9.0
38,Over,8.5
39,ILoveUIHateU,9.0
40,Die4Guy,8.0
41,Not PLaying,8.0
42,F33l Lik3 Dyin,9.0
46,Father Stretch My Hands pt.1,11.0
1,Say You Will,9.0
2,Welcome to Heartbreak,8.0
3,Heartless,8.0
4,Amazing,7.0
5,Love Lockdown,3.0
6,Paranoid,10.0
7,RoboCop,5.0
8,Street Lights,10.0
9,Bad News,7.0
10,See You In My Nightmares,6.0
11,Coldest Winter,10.0
12,Pinocchio Story,1.0
15,Doll,8.0
16,Monkey Wrench,7.0
17,"Hey, Johnny Park!",8.25
18,My Poor Brain,6.75
19,Wind Up,9.5
20,Up in Arms,10.0
21,My Hero,11.0
22,See You,8.5
23,Enough Space,8.0
24,Febuary Stars,10.0
25,Everlong,12.0
26,Walking After You,6.0
27,New Way Home,8.0
28,The Color and the Shape,8.0
31,Long Time,9.0
32,R.I.P,11.0
33,Lean 4 Real,10.0
34,Old Money,9.0
35,Love Hurts,7.5
36,Shoota,10.0
37,Right Now,9.0
38,Poke it Out,7.5
39,Home,7.0
40,Fell in Luv,10.0
41,Foriegn,8.5
42,Pull Up,9.0
43,Mileage,8.5
44,FlatBed Freestyle,8.0
45,No Time,8.0
46,Middle of Summer,6.0
47,Choppa Wont Miss,10.0
48,R.I.P Fredo ,10.0
49,Top,10.0
